pixel_qa,Fill,Clear,Water,Cloud_Shadow,Snow,Cloud,Cloud_confidence,Cirrus_Confidence,Terrain_Occlusion
1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,FALSE
322,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Low,Low,FALSE
324,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Low,Low,FALSE
328,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Low,Low,FALSE
336,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Low,Low,FALSE
352,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Low,Low,FALSE
368,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Low,Low,FALSE
386,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Medium,Low,FALSE
388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Medium,Low,FALSE
392,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Medium,Low,FALSE
400,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Medium,Low,FALSE
416,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Medium,Low,FALSE
432,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Medium,Low,FALSE
480,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,High,Low,FALSE
834,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Low,High,FALSE
836,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Low,High,FALSE
840,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Low,High,FALSE
848,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Low,High,FALSE
864,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Low,High,FALSE
880,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Low,High,FALSE
898,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Medium,High,FALSE
900,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Medium,High,FALSE
904,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Medium,High,FALSE
912,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Medium,High,FALSE
928,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Medium,High,FALSE
944,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Medium,High,FALSE
992,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,High,High,FALSE
1346,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Low,Low,TRUE
1348,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Low,Low,TRUE
1350,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Low,Low,TRUE
1352,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Low,Low,TRUE
